ds,Consumption,Forecast D-1,Forecast D,Fuel oil,Coal,Gas,Nuclear,Wind,Solar,Hydraulic,Hydraulic pumping,Bioenergies,Physical exchange,Low-carbon,High-carbon,High-availability,Intermittent
2012-12-31,486.6069125,484.47355,483.9377,4.5441865,17.4458025,25.039759,404.5543585,14.902714,3.7828105,63.3614865,-6.7097935,5.836458,-46.1510805,485.728034,47.029748,514.0722575,18.6855245
2013-12-31,492.1852415,488.0817,487.931155,3.9762475,19.7793115,19.99721,403.469492,15.9123385,4.5465135,74.6503945,-7.1951735,6.2018295,-49.116311,497.5853945,43.752769,520.8793115,20.458852
2014-12-31,462.3484125,458.36354,458.1351,2.38499,8.3726305,14.25939,415.504381,17.0589745,5.8196615,67.360259,-7.993292,7.510033,-67.8704425,505.260017,25.0170105,507.3983915,22.878636
2015-12-31,473.1528095,470.690299,469.033975,2.6541495,8.6148905,22.093562,416.4543475,21.094268,7.28777,58.5216795,-6.8918495,7.916313,-64.585248,504.3825285,33.362602,509.3630925,28.382038
2016-12-31,480.3204315,478.64282,478.371965,1.7225575,7.3048005,35.368489,383.704247,20.9178925,8.264949,63.3595665,-6.752164,8.711365,-42.2601855,478.205856,44.395847,493.4188615,29.1828415
2017-12-31,479.0446475,477.94407,477.495925,3.478548,9.742161,39.540845,378.8862385,24.097575,8.9980565,53.013683,-7.1605385,9.4386275,-40.9788755,467.273642,52.761554,486.9395645,33.0956315
2018-12-31,475.521003,472.03182,471.8352625,2.054493,5.7573355,30.19193,392.983473,28.130879,10.587052,67.4099205,-7.4001195,9.5459825,-63.72711,501.2571875,38.0037585,500.543015,38.717931
2019-12-31,470.477142,468.47943,467.95703,2.3941185,1.5559565,37.1297785,379.229717,33.8160655,12.1046445,59.502139,-6.4332445,9.660706,-58.4787475,487.8800275,41.0798535,483.039171,45.92071
2020-12-31,446.5826705,445.57013,444.9811725,0.9271745,1.366899,34.468467,335.20802,39.700283,12.4611865,64.806256,-6.263687,9.678687,-45.764835,455.5907455,36.7625405,440.1918165,52.1614695
2021-12-31,468.592967,466.608109,464.01966,0.970364,3.826476,32.820042,360.5136705,36.8698595,13.9723565,61.3209455,-5.982288,9.9715515,-45.0687705,476.6660955,37.616882,463.4407615,50.842216
2022-12-31,450.152269,445.122461,444.563093,1.133296,2.865899,43.956053,278.804585,38.635168,18.2404035,49.1396285,-7.437406,10.5541515,14.8408105,387.9365305,47.955248,379.016207,56.8755715
